id,sung,infdir,cat,baby,adult,score,rt,rt_correct,pers
JEN10A,1,1,id song,.63909775,.36090225,.63909775,3.6588519,3.6588519,JEN10
JEN10B,0,1,id speech,.55118108,.44881889,.55118108,3.6382537,3.6382537,JEN10
JEN11C,1,0,ad song,.49137932,.50862068,.50862068,3.2970173,3.2970173,JEN11
JEN11D,0,0,ad speech,.26190478,.73809522,.73809522,3.3301334,3.3301334,JEN11
JEN11A,1,1,id song,.82481754,.17518248,.82481754,3.3840091,3.3840091,JEN11
JEN11B,0,1,id speech,.76973683,.23026316,.76973683,3.6078393,3.6078393,JEN11
JEN12C,1,0,ad song,.55555558,.44444445,.44444445,3.8147173,3.8147173,JEN12
JEN12D,0,0,ad speech,.33018869,.66981131,.66981131,3.3368261,3.3368261,JEN12
JEN12A,1,1,id song,.7079646,.2920354,.7079646,3.2848482,3.2848482,JEN12
JEN12B,0,1,id speech,.71666664,.28333333,.71666664,3.6632442,3.6632442,JEN12
JEN13C,1,0,ad song,.68686867,.3131313,.3131313,3.2149355,3.2149355,JEN13
JEN13D,0,0,ad speech,.5043478,.49565217,.49565217,4.0658908,4.0658908,JEN13
JEN13A,1,1,id song,.80314958,.19685039,.80314958,3.7989011,3.7989011,JEN13
JEN14C,1,0,ad song,.66666669,.33333334,.33333334,3.8891706,3.8891706,JEN14
JEN14D,0,0,ad speech,.12612613,.87387389,.87387389,3.6122916,3.6122916,JEN14
JEN14A,1,1,id song,.71739131,.28260869,.71739131,3.7716701,3.7716701,JEN14
JEN15C,1,0,ad song,.94117647,.05882353,.05882353,2.9161427,2.9161427,JEN15
JEN15D,0,0,ad speech,.49122807,.50877196,.50877196,3.7100363,3.7100363,JEN15
JEN15A,1,1,id song,.8217054,.17829457,.8217054,4.0321236,4.0321236,JEN15
JEN15B,0,1,id speech,.86614174,.13385826,.86614174,2.9918981,2.9918981,JEN15
JEN16C,1,0,ad song,.76521736,.23478261,.23478261,4.4057307,4.4057307,JEN16
JEN16D,0,0,ad speech,.33913043,.66086954,.66086954,3.9851201,3.9851201,JEN16
JEN16A,1,1,id song,.8230769,.17692308,.8230769,3.3314476,3.3314476,JEN16
JEN17C,1,0,ad song,.85000002,.15000001,.15000001,4.3656669,4.3656669,JEN17
JEN17D,0,0,ad speech,.80327868,.19672132,.19672132,4.5263181,4.5263181,JEN17
JEN17A,1,1,id song,.69918698,.30081302,.69918698,3.2668073,3.2668073,JEN17
JEN17B,0,1,id speech,.89583331,.10416666,.89583331,3.1714799,3.1714799,JEN17
JEN18C,1,0,ad song,.57024795,.42975205,.42975205,3.3594902,3.3594902,JEN18
JEN18D,0,0,ad speech,.1981982,.8018018,.8018018,3.8177209,3.8177209,JEN18
JEN18A,1,1,id song,.78294575,.21705426,.78294575,3.5820999,3.5820999,JEN18
JEN18B,0,1,id speech,.58088237,.41911766,.58088237,3.8527565,3.8527565,JEN18
JEN19C,1,0,ad song,.73913044,.26086956,.26086956,3.6600344,3.6600344,JEN19
JEN19D,0,0,ad speech,.15887851,.84112149,.84112149,3.4957752,3.4957752,JEN19
JEN19A,1,1,id song,.69465649,.30534351,.69465649,3.1697111,3.1697111,JEN19
JEN20C,1,0,ad song,.83471072,.16528925,.16528925,3.9920001,3.9920001,JEN20
JEN20A,1,1,id song,.86046511,.13953489,.86046511,3.6652999,3.6652999,JEN20
JEN20B,0,1,id speech,.62096775,.37903225,.62096775,4.103219,4.103219,JEN20
KRA01A,1,1,id song,.3125,.6875,.3125,2.4712353,2.4712353,KRA01
KRA02C,1,0,ad song,.52380955,.47619048,.47619048,4.0851631,4.0851631,KRA02
KRA02D,0,0,ad speech,.11538462,.88461536,.88461536,3.1973846,3.1973846,KRA02
KRA02A,1,1,id song,.6936937,.3063063,.6936937,3.4431734,3.4431734,KRA02
KRA02B,0,1,id speech,.67647058,.32352942,.67647058,3.6602697,3.6602697,KRA02
KRA03C,1,0,ad song,.54621851,.45378152,.45378152,3.9631538,3.9631538,KRA03
KRA03D,0,0,ad speech,.14018692,.85981309,.85981309,3.1933956,3.1933956,KRA03
KRA03A,1,1,id song,.92647058,.073529415,.92647058,2.8698239,2.8698239,KRA03
KRA03B,0,1,id speech,.69999999,.30000001,.69999999,4.2382269,4.2382269,KRA03
KRA04C,1,0,ad song,.78740156,.21259843,.21259843,3.8830769,3.8830769,KRA04
KRA04D,0,0,ad speech,.41052631,.58947366,.58947366,2.9781508,2.9781508,KRA04
KRA04A,1,1,id song,.88188976,.11811024,.88188976,3.5292568,3.5292568,KRA04
KRA04B,0,1,id speech,.91111112,.088888891,.91111112,3.5581501,3.5581501,KRA04
KRA05C,1,0,ad song,.80158728,.1984127,.1984127,3.104625,3.104625,KRA05
KRA05D,0,0,ad speech,.40350878,.59649122,.59649122,3.2827761,3.2827761,KRA05
KRA05A,1,1,id song,.92913383,.070866145,.92913383,3.2852287,3.2852287,KRA05
KRA05B,0,1,id speech,.73943663,.26056337,.73943663,3.781853,3.781853,KRA05
KRA06C,1,0,ad song,.5,.5,.5,3.5158982,3.5158982,KRA06
KRA06A,1,1,id song,.83783782,.16216215,.83783782,3.2606847,3.2606847,KRA06
KRA06B,0,1,id speech,.90677965,.093220338,.90677965,3.1652243,3.1652243,KRA06
KRA07C,1,0,ad song,.47999999,.51999998,.51999998,3.1085961,3.1085961,KRA07
KRA07D,0,0,ad speech,.08421053,.91578948,.91578948,4.3649302,4.3649302,KRA07
KRA07A,1,1,id song,.90277779,.097222224,.90277779,2.7259612,2.7259612,KRA07
KRA07B,0,1,id speech,.93288589,.067114092,.93288589,2.7960291,2.7960291,KRA07
KRA08C,1,0,ad song,.6857143,.31428573,.31428573,4.2106562,4.2106562,KRA08
KRA08D,0,0,ad speech,.3888889,.6111111,.6111111,4.8111362,4.8111362,KRA08
KRA08A,1,1,id song,.83969468,.16030534,.83969468,3.2198427,3.2198427,KRA08
KRA08B,0,1,id speech,.68695652,.31304348,.68695652,3.6738846,3.6738846,KRA08
KRA09C,1,0,ad song,.68907565,.31092438,.31092438,3.6687942,3.6687942,KRA09
KRA09D,0,0,ad speech,.14406779,.85593218,.85593218,3.5158701,3.5158701,KRA09
KRA09A,1,1,id song,.80487806,.19512194,.80487806,3.2237313,3.2237313,KRA09
KRA09B,0,1,id speech,.9029851,.097014926,.9029851,2.5708389,2.5708389,KRA09
KRA10C,1,0,ad song,.42276424,.57723576,.57723576,3.2380142,3.2380142,KRA10
KRA10D,0,0,ad speech,.054545455,.94545454,.94545454,3.2234423,3.2234423,KRA10
KRA10A,1,1,id song,.74418604,.25581396,.74418604,3.2776315,3.2776315,KRA10
KRA10B,0,1,id speech,.44,.56,.44,3.7088113,3.7088113,KRA10
